sector,anio,vab,rta,imb,puestos_total,puestos_ar,puestos_anr,puestos_na
Servicios sociales y de salud,2022,3626494.146932005,2019335.5168552378,237505.4638385977,1435.1639047059325,824.6773984441644,332.8389686049332,277.6475376568349
Servicios sociales y de salud públicos,2016,121770.3938959762,121770.39389597619,NA,449.47237372986604,449.47237372986604,NA,NA
Servicios sociales y de salud públicos,2017,156684.26276020927,156684.26276020927,NA,455.6601206559353,455.6601206559353,NA,NA
Servicios sociales y de salud públicos,2018,198861.27349075628,198861.27349075634,NA,463.99452578367993,463.99452578367993,NA,NA
Servicios sociales y de salud públicos,2019,286632.8009412498,286632.8009412498,NA,470.54364726342317,470.54364726342317,NA,NA
Servicios sociales y de salud públicos,2020,379013.33383809024,379013.33383809036,NA,476.02056285306696,476.02056285306696,NA,NA
Servicios sociales y de salud públicos,2021,572848.1215318206,572848.1215318207,NA,489.28797593566514,489.28797593566514,NA,NA
Servicios sociales y de salud públicos,2022,1014838.7053044884,1014838.7053044888,NA,499.71710485882386,499.71710485882386,NA,NA
Servicios sociales y de salud privados,2016,304897.7537495935,111497.77068050951,31296.47441612804,783.0563683515389,299.45828167843104,255.935162585787,227.66292408732093
Servicios sociales y de salud privados,2017,406840.5302251794,143902.5172717673,37870.62854530426,801.4003967392168,309.97792984583384,257.58500376727903,233.83746312610398
Servicios sociales y de salud privados,2018,534098.8226220204,189806.85767211937,51587.41375055144,830.1253918494187,316.57719614259076,268.67662783092953,244.87156787589842
Servicios sociales y de salud privados,2019,745134.5393747243,264136.2187912561,75139.300075346,862.7200628113224,316.9498229082762,278.1000467173802,267.670193185666
Servicios sociales y de salud privados,2020,863039.6126245339,349977.9330813866,76898.35116963656,819.9613192486548,320.58138817371236,273.06502604567106,226.31490502927136
Servicios sociales y de salud privados,2021,1463164.4602309926,554233.5057528612,136151.33231844136,893.0228275985867,323.42376243650335,300.5299719050756,269.0690932570077
Servicios sociales y de salud privados,2022,2611655.441627517,1004496.8115507489,237505.4638385977,935.4467998471087,324.96029358534054,332.8389686049332,277.6475376568349
