sector,anio,vab,rta,imb,puestos_total,puestos_ar,puestos_anr,puestos_na,ipc_base2016,vab_real,rta_real,imb_real,part_rta,part_imb,part_excedente,productividad,part_ar,part_anr,part_na,grupo_prod,productividad_media
"Transporte, almacenamiento y comunicaciones",2016,440273.83095919027,285131.15213468496,23907.35015967114,1162.864964184736,608.5867736195962,266.1120757422042,288.16611482293564,100,440273.8309591903,285131.15213468496,23907.35015967114,0.6476223024963621,0.05430109281668197,0.29807660468695596,378.61131302365663,0.5233511992910248,0.22884176919782825,0.24780703151114694,Media productividad,373.5106579632081
"Transporte, almacenamiento y comunicaciones",2017,599565.921043152,371454.2657045915,32536.304905283243,1187.5149716715246,615.778811988002,275.5759142446492,296.16024543887346,125.54653977089747,477564.6721425097,295869.77576796355,25915.732097958928,0.6195386573311547,0.05426643470441933,0.326194907964426,402.15465365484897,0.51854404085638,0.23206100202404484,0.24939495711957524,Media productividad,373.5106579632081
"Transporte, almacenamiento y comunicaciones",2018,777792.8795419073,464386.7232742693,47195.6970404568,1192.42809779848,611.020177732034,280.617904310715,300.7900157557309,168.59175694351987,461346.9208951163,275450.4322710416,27994.07153474763,0.5970570514193659,0.06067900373201335,0.3422639448486207,386.89705630626946,0.5124167896245735,0.23533318682175114,0.2522500235536754,Media productividad,373.5106579632081
"Transporte, almacenamiento y comunicaciones",2019,1256377.1248194587,643002.735007226,79216.90192697069,1200.7461681227485,603.2405031749355,277.7500219868731,319.7556429609395,259.15986394895566,484788.46441550675,248110.4617086357,30566.80950510659,0.5117911830013823,0.06305184992790612,0.4251569670707116,403.739339158939,0.5023880310341062,0.23131451872222805,0.2662974502436654,Media productividad,373.5106579632081
"Transporte, almacenamiento y comunicaciones",2020,1388678.9308979877,821798.9947334535,80134.57581162178,1039.9091737034676,575.5370461054353,209.19654417121777,255.17558342681463,367.92304089693823,377437.33784995036,223361.6553967475,21780.25480988262,0.5917847361607467,0.05770561792840253,0.3505096459108508,362.9522148610043,0.5534493402493542,0.20116809184998172,0.2453825679006641,Media productividad,373.5106579632081
"Transporte, almacenamiento y comunicaciones",2021,2199601.4945777133,1244419.869099658,146395.48139329892,1169.8235265970818,581.0200449203611,262.55066104639064,326.25282063033,545.7444450585634,403046.06203397556,228022.45270057127,26824.91461321046,0.5657478739523069,0.06655545641070972,0.36769666963698344,344.53578071420964,0.4966732431946377,0.22443612654134973,0.27889063026401256,Media productividad,373.5106579632081
"Transporte, almacenamiento y comunicaciones",2022,3848371.150411482,2258570.505448088,285576.0214569046,1219.02042043851,583.3089270551003,298.4305386207451,337.28095476266435,940.4484760525055,409205.95316022675,240158.87770145014,30365.940158210306,0.5868899898614492,0.07420698531802727,0.3389030248205235,335.6842480235285,0.47850628035030823,0.2448117632954768,0.2766819563542148,Media productividad,373.5106579632081
Intermediación financiera,2016,321378.94645486283,171088.74220990765,6275.090853483902,303.98946992658887,259.87466666666666,18.98588387430553,25.128919385616676,100,321378.94645486283,171088.74220990765,6275.090853483902,0.5323582770346059,0.019525519399153386,0.4481162035662407,1057.204206884118,0.8548804888847775,0.0624557287424807,0.08266378237274179,Alta productividad,918.5673366701635
Intermediación financiera,2017,418551.8219588993,218633.54271038415,8724.226552703163,304.82120430336454,258.24224556202216,20.247466126615603,26.331492614726734,125.54653977089747,333383.7975325246,174145.41500654316,6948.998011911354,0.5223571640117084,0.020843838432890296,0.4567989975554013,1093.702776663575,0.8471925243921482,0.06642407365619124,0.0863834019516604,Alta productividad,918.5673366701635
Intermediación financiera,2018,516945.40035269945,278953.1800625654,11476.627567006642,307.74280271254884,258.0636614686956,21.671104744418656,28.008036499434535,168.59175694351987,306625.54903314874,165460.74678847904,6807.347983716335,0.5396182650474157,0.02220085053310546,0.43818088441947883,996.369521335504,0.8385692831612486,0.07041953395303556,0.09101118288571579,Alta productividad,918.5673366701635
