sector,anio,vbp_macro
Fabricación de maquinaria y equipo n.c.p.,2020,546382.8957491709
Fabricación de maquinaria y equipo n.c.p.,2021,1162018.158655889
Fabricación de maquinaria y equipo n.c.p.,2022,2111733.828055588
"Fabricación de maquinaria de oficina, contabilidad e informática",2016,6251.729129583519
"Fabricación de maquinaria de oficina, contabilidad e informática",2017,6404.614387275616
"Fabricación de maquinaria de oficina, contabilidad e informática",2018,7343.573451774334
"Fabricación de maquinaria de oficina, contabilidad e informática",2019,8453.17377718873
"Fabricación de maquinaria de oficina, contabilidad e informática",2020,9703.01990098037
"Fabricación de maquinaria de oficina, contabilidad e informática",2021,26502.151326999978
"Fabricación de maquinaria de oficina, contabilidad e informática",2022,37233.242319437995
Fabricación de maquinaria y aparatos eléctricos n.c.p.,2016,51206.97985818984
Fabricación de maquinaria y aparatos eléctricos n.c.p.,2017,60086.68467542287
Fabricación de maquinaria y aparatos eléctricos n.c.p.,2018,92066.22019951441
Fabricación de maquinaria y aparatos eléctricos n.c.p.,2019,133387.82710359612
Fabricación de maquinaria y aparatos eléctricos n.c.p.,2020,156430.55323130006
Fabricación de maquinaria y aparatos eléctricos n.c.p.,2021,290477.0958143733
Fabricación de maquinaria y aparatos eléctricos n.c.p.,2022,555470.188104903
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones",2016,82339.22630436777
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones",2017,104259.39009884738
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones",2018,109830.55818622619
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones",2019,113872.42257147208
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones",2020,190985.63402205092
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones",2021,313018.40583454823
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones",2022,564572.7783129826
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes",2016,13949.11374668144
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes",2017,15980.047961764192
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes",2018,22272.75951110991
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes",2019,40673.582415550154
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes",2020,55532.275162401405
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes",2021,81901.51555104184
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes",2022,107160.06589522418
"Fabricación de vehículos automotores, remolques y semirremolques",2016,257436.6280721584
